,GSM4731601,GSM4731602,GSM4731603,GSM4731604,GSM4731605,GSM4731606,GSM4731607,GSM4731608,GSM4731609,GSM4731610,GSM4731611,GSM4731612,GSM4731613,GSM4731614,GSM4731615,GSM4731616,GSM4731617,GSM4731618
GAGE12E,2.771609068,2.885508775,2.889310131,2.892227148,3.005538491,2.816704121,2.796997959,2.795718781,3.048637466,2.721117636,2.642508859,2.842523664,2.950288288,3.95345793,3.60636242,2.977976551,2.783239368,2.861051243
GAGE12G,2.771609068,2.885508775,2.889310131,2.892227148,3.005538491,2.816704121,2.796997959,2.795718781,3.048637466,2.721117636,2.642508859,2.842523664,2.950288288,3.95345793,3.60636242,2.977976551,2.783239368,2.861051243
GAGE12H,2.771609068,2.885508775,2.889310131,2.892227148,3.005538491,2.816704121,2.796997959,2.795718781,3.048637466,2.721117636,2.642508859,2.842523664,2.950288288,3.95345793,3.60636242,2.977976551,2.783239368,2.861051243
GAGE2A,2.771609068,2.885508775,2.889310131,2.892227148,3.005538491,2.816704121,2.796997959,2.795718781,3.048637466,2.721117636,2.642508859,2.842523664,2.950288288,3.95345793,3.60636242,2.977976551,2.783239368,2.861051243
GAGE1,2.771609068,2.885508775,2.889310131,2.892227148,3.005538491,2.816704121,2.796997959,2.795718781,3.048637466,2.721117636,2.642508859,2.842523664,2.950288288,3.95345793,3.60636242,2.977976551,2.783239368,2.861051243
MAGED1,8.460296558,8.450347436,8.209758376,8.441453406,8.191299766,8.481295497,8.3027459,8.491523202,8.227785784,8.336740355,8.324275288,8.027145345,7.298105237,7.522253775,7.442150014,7.533233652,7.183772015,7.434378614
MAGED4B,6.680845781,6.977866021,6.475119675,6.716893547,6.483863357,6.813410595,6.80722868,6.6845754,6.474716602,6.65089485,6.6513595,6.534621284,6.479997519,6.371985119,6.394564313,6.252455042,6.069553645,6.40581878
MAGED4,6.680845781,6.977866021,6.475119675,6.716893547,6.483863357,6.813410595,6.80722868,6.6845754,6.474716602,6.65089485,6.6513595,6.534621284,6.479997519,6.371985119,6.394564313,6.252455042,6.069553645,6.40581878
FAM156B,6.881505848,6.816134675,6.675941851,6.821539781,6.640207208,6.896907857,6.857861524,6.96734385,6.594788927,6.922786864,6.926250015,6.689335127,6.755900956,6.660479492,6.505322847,6.525619399,6.305889481,6.405358505
FAM156A,6.881505848,6.816134675,6.675941851,6.821539781,6.640207208,6.896907857,6.857861524,6.96734385,6.594788927,6.922786864,6.926250015,6.689335127,6.755900956,6.660479492,6.505322847,6.525619399,6.305889481,6.405358505
CUTALP,6.915394873,6.700934687,6.532377108,6.807327912,6.878196121,6.88527901,6.624454722,6.97697091,6.71849027,7.002385584,7.053453416,6.756679438,7.052428225,7.031787636,6.939740582,7.610358435,7.176331754,7.287517025
AL591212.1,3.704237501,3.719033535,4.032529805,3.600441293,3.610209083,3.393854276,3.573066089,3.587898756,3.414988378,3.306422191,3.476673454,3.485317814,3.556953698,3.530385555,3.572053625,3.196803223,3.452937019,3.301884427
HUWE1,10.67704391,10.59412155,10.5730473,10.74311159,10.79112323,10.73372627,10.72614283,10.74014189,10.82852096,10.93811279,10.8650305,10.98361384,11.06278027,11.04432223,10.95005015,11.16094546,11.1296554,11.06162778
AL596244.1,5.468977668,5.519595538,5.691589512,5.232614558,5.566531568,5.354793358,5.315490894,5.456387549,5.33609335,5.167246014,5.159541037,5.648965191,5.946712303,6.29451717,5.621364007,5.86062413,6.211771789,6.215344879
RBM18,8.642263249,8.621575089,8.858963337,8.652831727,9.01417336,8.604228178,8.573181934,8.808877469,8.897723522,8.871731949,8.821247938,8.671734777,9.117025377,9.217893439,9.374060199,9.149791499,9.718342505,9.247528358
GNL3L,8.770603841,8.546653462,8.490039984,8.64158934,8.675491935,8.759097625,8.618292666,8.686623651,8.45298498,8.905260044,8.875035623,8.535093139,8.374951471,8.30189917,8.295700351,8.266033939,8.215861967,8.257576752
MAGED2,8.464731999,8.464538462,7.511598156,8.387511204,7.793745757,8.530789916,8.348383888,8.497681171,7.712197807,8.350747213,8.492187437,7.450964852,7.245592061,6.777783624,6.757002775,7.455266927,6.750298897,7.310639435
PDCL,6.807082433,6.761963063,6.444773713,6.698270521,6.557265214,6.466620197,6.705232433,6.687167269,6.659432177,6.595425074,6.579036558,6.475359597,6.357284324,6.471120177,6.116036094,6.617557529,6.557689747,6.515865161
AC007066.2,4.675610542,4.540998139,4.395173907,4.519272485,4.683011596,4.421123857,4.603465709,4.697171648,4.54783092,4.383291643,4.517972336,4.631901043,4.281862913,4.442519167,4.382156504,4.079229516,4.206314202,3.961421932
